time,order,x,y,z,qw,qx,qy,qz,step_size,type
0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
0.1,1,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
0.2,2,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
0.3,3,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
0.4,4,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
0.5,5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
0.6,6,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
0.7,7,0.7,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
0.8,8,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
0.9,9,0.9,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
1.0,10,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
1.1,11,1.1,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
1.2,12,1.2,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
1.3,13,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
1.4,14,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
1.5,15,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
1.6,16,1.6,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
1.7,17,1.7,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
1.8,18,1.8,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
1.9,19,1.9,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
2.0,20,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
2.1,21,2.1,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
2.2,22,2.2,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
2.3,23,2.3,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
2.4,24,2.4,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
2.5,25,2.5,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
2.6,26,2.6,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
2.7,27,2.7,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
2.8,28,2.8,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
2.9,29,2.9,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
3.0,30,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
3.1,31,3.1,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
3.2,32,3.2,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
3.3,33,3.3,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
3.4,34,3.4,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
3.5,35,3.5,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
3.6,36,3.6,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
3.7,37,3.7,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
3.8,38,3.8,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
3.9,39,3.9,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
4.0,40,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
4.1,41,4.1,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
4.2,42,4.2,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
4.3,43,4.3,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
4.4,44,4.4,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
4.5,45,4.5,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
4.6,46,4.6,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
4.7,47,4.7,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
4.8,48,4.8,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
4.9,49,4.9,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
5.0,50,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
5.1,51,5.1,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
5.2,52,5.2,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
5.3,53,5.3,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
5.4,54,5.4,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
5.5,55,5.5,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
5.6,56,5.6,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
5.7,57,5.7,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
5.8,58,5.8,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
5.9,59,5.9,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
6.0,60,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
6.1,61,6.1,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
6.2,62,6.2,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
6.3,63,6.3,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
6.4,64,6.4,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
6.5,65,6.5,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
6.6,66,6.6,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
6.7,67,6.7,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
6.8,68,6.8,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
6.9,69,6.9,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
7.0,70,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
7.1,71,7.1,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
7.2,72,7.2,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
7.3,73,7.3,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
7.4,74,7.4,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
7.5,75,7.5,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
7.6,76,7.6,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
7.7,77,7.7,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
7.8,78,7.8,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
7.9,79,7.9,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
8.0,80,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
8.1,81,8.1,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
8.2,82,8.2,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
8.3,83,8.3,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
8.4,84,8.4,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
8.5,85,8.5,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
8.6,86,8.6,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
8.7,87,8.7,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
8.8,88,8.8,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
8.9,89,8.9,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
9.0,90,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
9.1,91,9.1,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
9.2,92,9.2,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
9.3,93,9.3,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
9.4,94,9.4,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
9.5,95,9.5,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
9.6,96,9.6,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
9.7,97,9.7,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
9.8,98,9.8,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
9.9,99,9.9,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
10.0,100,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
10.1,101,10.1,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
10.2,102,10.2,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
10.3,103,10.3,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
10.4,104,10.4,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
10.5,105,10.5,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
10.6,106,10.6,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
10.7,107,10.7,0.0,0.0,1.0,0.0,0.0,0.0,0.1,S
