time,x,y,z,qx,qy,qz,qw,type
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
4.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
4.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S
5.1,0.1,0.0,0.0,0.0,0.0,0.0,1.0,S
5.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,S
5.3,0.3,0.0,0.0,0.0,0.0,0.0,1.0,S
5.4,0.4,0.0,0.0,0.0,0.0,0.0,1.0,S
5.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,S
5.6,0.6,0.0,0.0,0.0,0.0,0.0,1.0,S
5.7,0.7,0.0,0.0,0.0,0.0,0.0,1.0,S
5.8,0.8,0.0,0.0,0.0,0.0,0.0,1.0,S
5.9,0.9,0.0,0.0,0.0,0.0,0.0,1.0,S
6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,S
6.1,1.1,0.0,0.0,0.0,0.0,0.0,1.0,S
6.2,1.2,0.0,0.0,0.0,0.0,0.0,1.0,S
6.3,1.3,0.0,0.0,0.0,0.0,0.0,1.0,S
6.4,1.4,0.0,0.0,0.0,0.0,0.0,1.0,S
6.5,1.5,0.0,0.0,0.0,0.0,0.0,1.0,S
6.6,1.6,0.0,0.0,0.0,0.0,0.0,1.0,S
6.7,1.7,0.0,0.0,0.0,0.0,0.0,1.0,S
6.8,1.8,0.0,0.0,0.0,0.0,0.0,1.0,S
6.9,1.9,0.0,0.0,0.0,0.0,0.0,1.0,S
7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,S
7.1,2.1,0.0,0.0,0.0,0.0,0.0,1.0,S
7.2,2.2,0.0,0.0,0.0,0.0,0.0,1.0,S
7.3,2.3,0.0,0.0,0.0,0.0,0.0,1.0,S
7.4,2.4,0.0,0.0,0.0,0.0,0.0,1.0,S
7.5,2.5,0.0,0.0,0.0,0.0,0.0,1.0,S
7.6,2.6,0.0,0.0,0.0,0.0,0.0,1.0,S
7.7,2.7,0.0,0.0,0.0,0.0,0.0,1.0,S
7.8,2.8,0.0,0.0,0.0,0.0,0.0,1.0,S
7.9,2.9,0.0,0.0,0.0,0.0,0.0,1.0,S
8.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,S
8.1,3.1,0.0,0.0,0.0,0.0,0.0,1.0,S
8.2,3.2,0.0,0.0,0.0,0.0,0.0,1.0,S
8.3,3.3,0.0,0.0,0.0,0.0,0.0,1.0,S
8.4,3.4,0.0,0.0,0.0,0.0,0.0,1.0,S
8.5,3.5,0.0,0.0,0.0,0.0,0.0,1.0,S
8.6,3.6,0.0,0.0,0.0,0.0,0.0,1.0,S
8.7,3.7,0.0,0.0,0.0,0.0,0.0,1.0,S
8.8,3.8,0.0,0.0,0.0,0.0,0.0,1.0,S
8.9,3.9,0.0,0.0,0.0,0.0,0.0,1.0,S
9.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,S
9.1,4.1,0.0,0.0,0.0,0.0,0.0,1.0,S
9.2,4.2,0.0,0.0,0.0,0.0,0.0,1.0,S
9.3,4.3,0.0,0.0,0.0,0.0,0.0,1.0,S
9.4,4.4,0.0,0.0,0.0,0.0,0.0,1.0,S
9.5,4.5,0.0,0.0,0.0,0.0,0.0,1.0,S
9.6,4.6,0.0,0.0,0.0,0.0,0.0,1.0,S
